Nighttime lights,GDP2015,Ten years change of NDVI,Population,Degree of urbanization,Impact of the vadose zone, Depth to groundwater,Slope,Aquifer water yield capacity, Net recharge, Conductivity,LULC,PPSD,EWQI,target
1.8182377,10914,0.497449,63.45100797,21,2,2,5,5,3,2,8,0,163.6412575,0
4.3765864,12775,0.4770408,35.88944733,21,10,4,9,9,6,5,8,0.1061033,92.93357522,0
4.3765864,12775,0.4770408,35.88944733,21,10,4,9,9,6,5,8,0.1061033,92.69827691,0
1.3556176,2008,0.4897959,259.3324403,23,4,2,3,5,6,3,8,0.0353678,162.3779793,0
1.6085374,1993,0.505102,152.7216767,23,10,2,10,5,6,3,8,0,112.8180757,0
0.9722283,6877,0.5357143,26.39684054,21,10,1,10,7,6,3,8,0,97.94534027,0
0.9722283,6877,0.5357143,26.39684054,21,10,1,10,7,6,3,8,0,113.3543416,0
1.123071,1510,0.4872449,80.86422643,21,6,1,10,7,8,5,8,0.0353678,134.0934216,0
0.9885773,1402,0.4948979,151.8134111,21,6,4,9,7,8,5,8,0,102.016003,0
42.3923759,144688,0.4234694,439.6040626,30,6,6,9,7,6,3,8,0.1061033,46.2072159,1
